歌手名,歌手地区,歌手id,歌手图片
李健,,001oEyQf4Ub6s7,http://y.gtimg.cn/music/photo_new/T001R150x150M000001oEyQf4Ub6s7.webp
王杰,,003NKwHr46UKeR,http://y.gtimg.cn/music/photo_new/T001R150x150M000003NKwHr46UKeR.webp
陈雪凝,,004V53Ga0bV65j,http://y.gtimg.cn/music/photo_new/T001R150x150M000004V53Ga0bV65j.webp
周华健,,003NThQh3ujqIo,http://y.gtimg.cn/music/photo_new/T001R150x150M000003NThQh3ujqIo.webp
蔡依林,,0027pdHE4STooO,http://y.gtimg.cn/music/photo_new/T001R150x150M0000027pdHE4STooO.webp
谭咏麟,,0040D7gK4aI54k,http://y.gtimg.cn/music/photo_new/T001R150x150M0000040D7gK4aI54k.webp
田馥甄,,001ByAsv3XCdgm,http://y.gtimg.cn/music/photo_new/T001R150x150M000001ByAsv3XCdgm.webp
The Chainsmokers,,004ABIFV1EZUAj,http://y.gtimg.cn/music/photo_new/T001R150x150M000004ABIFV1EZUAj.webp
陈慧娴,,000JvETZ3tOrPR,http://y.gtimg.cn/music/photo_new/T001R150x150M000000JvETZ3tOrPR.webp
叶里,,004J3Tvx00N44V,http://y.gtimg.cn/music/photo_new/T001R150x150M000004J3Tvx00N44V.webp
胡夏,,002mze3U0NYXOM,http://y.gtimg.cn/music/photo_new/T001R150x150M000002mze3U0NYXOM.webp
苏打绿,,000Q4W691sMvLG,http://y.gtimg.cn/music/photo_new/T001R150x150M000000Q4W691sMvLG.webp
大壮,,0029gk1t3wpGWU,http://y.gtimg.cn/music/photo_new/T001R150x150M0000029gk1t3wpGWU.webp
S.H.E,,003u5H9x1vACGo,http://y.gtimg.cn/music/photo_new/T001R150x150M000003u5H9x1vACGo.webp
孙露,,004dXznj3zlHKW,http://y.gtimg.cn/music/photo_new/T001R150x150M000004dXznj3zlHKW.webp
凤凰传奇,,0021sRlK1Ge1aY,http://y.gtimg.cn/music/photo_new/T001R150x150M0000021sRlK1Ge1aY.webp
Justin Bieber (贾斯汀·比伯),,002DYpxl3hW3EP,http://y.gtimg.cn/music/photo_new/T001R150x150M000002DYpxl3hW3EP.webp
张哲瀚,,003OCqM82pxx6F,http://y.gtimg.cn/music/photo_new/T001R150x150M000003OCqM82pxx6F.webp
简弘亦,,003U6coz1AhN3H,http://y.gtimg.cn/music/photo_new/T001R150x150M000003U6coz1AhN3H.webp
麦小兜,,002btzGY28mJnT,http://y.gtimg.cn/music/photo_new/T001R150x150M000002btzGY28mJnT.webp
任贤齐,,002cENGP2BtEVR,http://y.gtimg.cn/music/photo_new/T001R150x150M000002cENGP2BtEVR.webp
苏星婕,,002lKaDq2lLLtk,http://y.gtimg.cn/music/photo_new/T001R150x150M000002lKaDq2lLLtk.webp
徐佳莹,,002LZVMH0zc8F4,http://y.gtimg.cn/music/photo_new/T001R150x150M000002LZVMH0zc8F4.webp
